DATA INICIAL,DATA FINAL,ESTADO,MUNICÍPIO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,COEF DE VARIAÇÃO REVENDA
2022-08-14 00:00:00,2022-08-20 00:00:00,ACRE,CRUZEIRO DO SUL,ETANOL HIDRATADO,4,R$/l,5.77,0.04999999999999982,5.69,5.79,0.008673026886383318
2022-08-14 00:00:00,2022-08-20 00:00:00,ACRE,RIO BRANCO,ETANOL HIDRATADO,18,R$/l,5,0.1699557804849882,4.75,5.49,0.03396096856938041
2022-08-14 00:00:00,2022-08-20 00:00:00,ALAGOAS,ARAPIRACA,ETANOL HIDRATADO,4,R$/l,5.04,0.2645751311064589,4.69,5.29,0.05249506569572598
2022-08-14 00:00:00,2022-08-20 00:00:00,ALAGOAS,DELMIRO GOUVEIA,ETANOL HIDRATADO,7,R$/l,6.04,0.176635217326557,5.96,6.44,0.029244241279231288
2022-08-14 00:00:00,2022-08-20 00:00:00,ALAGOAS,MACEIO,ETANOL HIDRATADO,23,R$/l,4.84,0.2190105309071263,4.59,5.49,0.04527451205162596
2022-08-14 00:00:00,2022-08-20 00:00:00,ALAGOAS,PALMEIRA DOS INDIOS,ETANOL HIDRATADO,7,R$/l,5.17,0.20304819976688127,4.9,5.38,0.03930689707876573
2022-08-14 00:00:00,2022-08-20 00:00:00,ALAGOAS,RIO LARGO,ETANOL HIDRATADO,8,R$/l,4.82,0.2153692841874823,4.49,5.14,0.04467083934404611
2022-08-14 00:00:00,2022-08-20 00:00:00,AMAZONAS,ITACOATIARA,ETANOL HIDRATADO,2,R$/l,5.24,0.3535533905932738,4.99,5.49,0.0674720211055866
2022-08-14 00:00:00,2022-08-20 00:00:00,AMAZONAS,MANACAPURU,ETANOL HIDRATADO,7,R$/l,4.86,0.0943145698990252,4.79,4.99,0.019423418337545642
2022-08-14 00:00:00,2022-08-20 00:00:00,AMAZONAS,MANAUS,ETANOL HIDRATADO,37,R$/l,4.72,0.1625237335405632,4.59,5.29,0.03444482839386434
2022-08-14 00:00:00,2022-08-20 00:00:00,BAHIA,ALAGOINHAS,ETANOL HIDRATADO,9,R$/l,4.79,0.19462214102660003,4.49,4.99,0.0405932623230452
2022-08-14 00:00:00,2022-08-20 00:00:00,BAHIA,BARREIRAS,ETANOL HIDRATADO,12,R$/l,4.46,0.3723909236273085,4.19,5.4,0.0835425515709049
2022-08-14 00:00:00,2022-08-20 00:00:00,BAHIA,BRUMADO,ETANOL HIDRATADO,7,R$/l,4.7,0.18506112246395523,4.49,4.99,0.0393627425477875
2022-08-14 00:00:00,2022-08-20 00:00:00,BAHIA,CAETITE,ETANOL HIDRATADO,7,R$/l,4.99,0.01604012825028878,4.95,4.999,0.003217309887160706
2022-08-14 00:00:00,2022-08-20 00:00:00,BAHIA,CAMACARI,ETANOL HIDRATADO,11,R$/l,4.74,0.13784048752090214,4.64,5.09,0.029080271628882312
2022-08-14 00:00:00,2022-08-20 00:00:00,BAHIA,EUNAPOLIS,ETANOL HIDRATADO,5,R$/l,4.97,0.0758287544405157,4.89,5.04,0.015257294656039375
2022-08-14 00:00:00,2022-08-20 00:00:00,BAHIA,FEIRA DE SANTANA,ETANOL HIDRATADO,21,R$/l,4.57,0.20834152364852868,4.29,5.29,0.04556996142713364
2022-08-14 00:00:00,2022-08-20 00:00:00,BAHIA,GUANAMBI,ETANOL HIDRATADO,9,R$/l,4.73,0.11022703842524308,4.59,4.98,0.023287402484206285
2022-08-14 00:00:00,2022-08-20 00:00:00,BAHIA,ILHEUS,ETANOL HIDRATADO,12,R$/l,4.99,0.12724052622946622,4.91,5.39,0.02550336253137789
2022-08-14 00:00:00,2022-08-20 00:00:00,BAHIA,IPIRA,ETANOL HIDRATADO,6,R$/l,4.56,0.07061633427661518,4.46,4.68,0.015497366702987968
2022-08-14 00:00:00,2022-08-20 00:00:00,BAHIA,IRECE,ETANOL HIDRATADO,7,R$/l,4.72,0.09342682392424269,4.55,4.79,0.019775862336549706
2022-08-14 00:00:00,2022-08-20 00:00:00,BAHIA,ITABUNA,ETANOL HIDRATADO,12,R$/l,4.97,0.04451761653343728,4.95,5.1,0.008957266908136273
