DATA INICIAL,DATA FINAL,ESTADO,MUNICÍPIO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,COEF DE VARIAÇÃO REVENDA
2022-07-31 00:00:00,2022-08-06 00:00:00,ACRE,CRUZEIRO DO SUL,ETANOL HIDRATADO,4,R$/l,5.97,0.13000000000000034,5.77,6.03,0.021793797150041965
2022-07-31 00:00:00,2022-08-06 00:00:00,ACRE,RIO BRANCO,ETANOL HIDRATADO,16,R$/l,5.11,0.24179881444429518,4.85,5.79,0.047365095875474085
2022-07-31 00:00:00,2022-08-06 00:00:00,ALAGOAS,ARAPIRACA,ETANOL HIDRATADO,13,R$/l,5.06,0.2660152299476527,4.79,5.59,0.0525881689373401
2022-07-31 00:00:00,2022-08-06 00:00:00,ALAGOAS,DELMIRO GOUVEIA,ETANOL HIDRATADO,7,R$/l,6.04,0.17663521732655701,5.96,6.44,0.029244241279231295
2022-07-31 00:00:00,2022-08-06 00:00:00,ALAGOAS,MACEIO,ETANOL HIDRATADO,24,R$/l,5.03,0.36523071921850936,4.69,5.99,0.0725744101775478
2022-07-31 00:00:00,2022-08-06 00:00:00,ALAGOAS,PALMEIRA DOS INDIOS,ETANOL HIDRATADO,8,R$/l,5.33,0.21862802721909713,5.09,5.76,0.040989552794768624
2022-07-31 00:00:00,2022-08-06 00:00:00,ALAGOAS,RIO LARGO,ETANOL HIDRATADO,8,R$/l,4.92,0.2251983252919205,4.69,5.39,0.04581858093426662
2022-07-31 00:00:00,2022-08-06 00:00:00,AMAZONAS,ITACOATIARA,ETANOL HIDRATADO,2,R$/l,5.34,0.21213203435596412,5.19,5.49,0.03972510006665995
2022-07-31 00:00:00,2022-08-06 00:00:00,AMAZONAS,MANACAPURU,ETANOL HIDRATADO,7,R$/l,5.05,0.193366171267045,4.79,5.37,0.03826867964007111
2022-07-31 00:00:00,2022-08-06 00:00:00,AMAZONAS,MANAUS,ETANOL HIDRATADO,38,R$/l,4.84,0.10398907098719322,4.77,5.29,0.021502882393825657
2022-07-31 00:00:00,2022-08-06 00:00:00,AMAPA,MACAPA,ETANOL HIDRATADO,1,R$/l,5.96,-,5.96,5.96,-
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,ALAGOINHAS,ETANOL HIDRATADO,9,R$/l,5.09,0.1856071119327058,4.69,5.33,0.03644118689778256
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,BARREIRAS,ETANOL HIDRATADO,10,R$/l,4.59,0.1817935336828262,4.49,4.99,0.039640979869783294
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,BRUMADO,ETANOL HIDRATADO,7,R$/l,5.06,0.23028967265887848,4.79,5.49,0.04551179301558863
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,CAETITE,ETANOL HIDRATADO,7,R$/l,5.19,0.004879500364742563,5.19,5.2,0.000939656191284675
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,CAMACARI,ETANOL HIDRATADO,12,R$/l,4.99,0.07115923245536285,4.9,5.19,0.014274670502580312
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,EUNAPOLIS,ETANOL HIDRATADO,8,R$/l,5.14,0.1586944503485503,4.99,5.39,0.030866900140734316
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,FEIRA DE SANTANA,ETANOL HIDRATADO,22,R$/l,4.79,0.12254869162166461,4.47,4.99,0.025579423298639676
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,GUANAMBI,ETANOL HIDRATADO,9,R$/l,4.89,0.07412451985979052,4.79,4.98,0.015165280262289488
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,ILHEUS,ETANOL HIDRATADO,12,R$/l,5.26,0.07621242243449113,5.19,5.49,0.014491349535951409
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,IPIRA,ETANOL HIDRATADO,6,R$/l,4.8,0.12548572295949317,4.7,5.03,0.02612471678546006
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,IRECE,ETANOL HIDRATADO,7,R$/l,4.89,0.14797039600960074,4.79,5.18,0.03028633836453816
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,ITABUNA,ETANOL HIDRATADO,13,R$/l,5.22,0.10099504938362092,5.1,5.46,0.019347710609889063
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,ITAMARAJU,ETANOL HIDRATADO,5,R$/l,4.89,0.14849242404917498,4.74,5.08,0.030366548885311855
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,JACOBINA,ETANOL HIDRATADO,5,R$/l,5.01,0.044721359549995635,4.99,5.09,0.008926419071855415
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,JAGUAQUARA,ETANOL HIDRATADO,7,R$/l,5.13,0.15118578920369083,4.99,5.29,0.029454509446864344
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,JEQUIE,ETANOL HIDRATADO,9,R$/l,4.94,0.05925462944877087,4.85,4.99,0.011992166967369862
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,JUAZEIRO,ETANOL HIDRATADO,10,R$/l,5.69,0.12520649610410253,5.49,5.85,0.022000790037621246
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,LAURO DE FREITAS,ETANOL HIDRATADO,11,R$/l,4.94,0.03828125579777325,4.9,4.99,0.007743541996607314
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,LIVRAMENTO DE NOSSA SENHORA,ETANOL HIDRATADO,6,R$/l,4.91,0.1357080199054818,4.79,5.1,0.027648493019792567
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,PAULO AFONSO,ETANOL HIDRATADO,2,R$/l,4.97,0.0212132034355966,4.95,4.98,0.004272548526806969
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,POCOES,ETANOL HIDRATADO,2,R$/l,4.8,0.007071067811865324,4.79,4.8,0.001474675247521444
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,PORTO SEGURO,ETANOL HIDRATADO,7,R$/l,5.17,0.20493901531919187,4.96,5.5,0.03964004164781274
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,SALVADOR,ETANOL HIDRATADO,87,R$/l,4.96,0.0630190290461482,4.87,5.29,0.012694270727054622
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,SANTO ANTONIO DE JESUS,ETANOL HIDRATADO,7,R$/l,4.59,9.593423386663633e-16,4.59,4.59,2.0900704546108137e-16
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,SENHOR DO BONFIM,ETANOL HIDRATADO,7,R$/l,5.32,0.36839419880650376,4.89,5.79,0.06926562964398406
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,SERRINHA,ETANOL HIDRATADO,6,R$/l,5,0.19964134508329348,4.78,5.29,0.0399415828776179
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,SIMOES FILHO,ETANOL HIDRATADO,9,R$/l,4.98,0.17176372660657374,4.72,5.29,0.03452151718309879
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,TEIXEIRA DE FREITAS,ETANOL HIDRATADO,9,R$/l,4.84,0.1023474474522936,4.69,4.99,0.021160740341618252
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,VALENCA,ETANOL HIDRATADO,10,R$/l,4.94,0.038815804341359145,4.89,4.99,0.007854270404969476
2022-07-31 00:00:00,2022-08-06 00:00:00,BAHIA,VITORIA DA CONQUISTA,ETANOL HIDRATADO,10,R$/l,5.38,0.015491933384829579,5.34,5.39,0.0028806123809649647
2022-07-31 00:00:00,2022-08-06 00:00:00,CEARA,CANINDE,ETANOL HIDRATADO,8,R$/l,5.71,0.21132236714825717,5.45,6.14,0.03700917112929197
2022-07-31 00:00:00,2022-08-06 00:00:00,CEARA,CAUCAIA,ETANOL HIDRATADO,20,R$/l,5.32,0.31865672009728263,4.89,5.99,0.05995422767587633
2022-07-31 00:00:00,2022-08-06 00:00:00,CEARA,CRATEUS,ETANOL HIDRATADO,5,R$/l,5.87,0.12837445228704966,5.74,6,0.02185469054937856
2022-07-31 00:00:00,2022-08-06 00:00:00,CEARA,CRATO,ETANOL HIDRATADO,8,R$/l,5.53,0.4097887086222433,5.14,6.29,0.07408609421419086
2022-07-31 00:00:00,2022-08-06 00:00:00,CEARA,FORTALEZA,ETANOL HIDRATADO,98,R$/l,5.31,0.28995412697537615,4.77,5.99,0.05457278696265888
2022-07-31 00:00:00,2022-08-06 00:00:00,CEARA,IGUATU,ETANOL HIDRATADO,4,R$/l,5.44,0.41231056256176607,4.99,5.99,0.07579238282385406
2022-07-31 00:00:00,2022-08-06 00:00:00,CEARA,ITAPIPOCA,ETANOL HIDRATADO,7,R$/l,6.06,0.19471591027516386,5.98,6.5,0.03213891468819021
2022-07-31 00:00:00,2022-08-06 00:00:00,CEARA,JUAZEIRO DO NORTE,ETANOL HIDRATADO,11,R$/l,5.59,0.2515587767934528,5.27,6.05,0.04502353636068956
2022-07-31 00:00:00,2022-08-06 00:00:00,CEARA,LIMOEIRO DO NORTE,ETANOL HIDRATADO,4,R$/l,5.8,0.252372079808101,5.65,6.18,0.04349368027713933
2022-07-31 00:00:00,2022-08-06 00:00:00,CEARA,MARACANAU,ETANOL HIDRATADO,10,R$/l,5.11,0.355627770444198,4.77,5.79,0.06954004115060579
2022-07-31 00:00:00,2022-08-06 00:00:00,CEARA,QUIXADA,ETANOL HIDRATADO,6,R$/l,5.15,0.14972196454317124,4.99,5.39,0.02908163765811031
2022-07-31 00:00:00,2022-08-06 00:00:00,CEARA,SOBRAL,ETANOL HIDRATADO,13,R$/l,5.94,0.13919641168378238,5.49,6,0.023418575797711547
2022-07-31 00:00:00,2022-08-06 00:00:00,DISTRITO FEDERAL,BRASILIA,ETANOL HIDRATADO,47,R$/l,4.82,0.17154330220920885,4.58,5.39,0.035582043355103135
2022-07-31 00:00:00,2022-08-06 00:00:00,ESPIRITO SANTO,ARACRUZ,ETANOL HIDRATADO,6,R$/l,4.8,0.09628083921528736,4.75,4.99,0.02007942423676483
2022-07-31 00:00:00,2022-08-06 00:00:00,ESPIRITO SANTO,CACHOEIRO DE ITAPEMIRIM,ETANOL HIDRATADO,8,R$/l,5.21,0.18780213752016445,4.98,5.39,0.03605512599379207
2022-07-31 00:00:00,2022-08-06 00:00:00,ESPIRITO SANTO,CARIACICA,ETANOL HIDRATADO,8,R$/l,4.59,0.20570002430724219,4.36,4.99,0.04485146346301275
2022-07-31 00:00:00,2022-08-06 00:00:00,ESPIRITO SANTO,COLATINA,ETANOL HIDRATADO,6,R$/l,5.11,0.41190613817551514,4.69,5.79,0.08066047092209827
2022-07-31 00:00:00,2022-08-06 00:00:00,ESPIRITO SANTO,GUARAPARI,ETANOL HIDRATADO,6,R$/l,4.97,0.22163032283512105,4.75,5.27,0.04459362632497406
2022-07-31 00:00:00,2022-08-06 00:00:00,ESPIRITO SANTO,LINHARES,ETANOL HIDRATADO,6,R$/l,4.86,0.41793141383086596,4.49,5.39,0.08605313942982827
2022-07-31 00:00:00,2022-08-06 00:00:00,ESPIRITO SANTO,SAO MATEUS,ETANOL HIDRATADO,1,R$/l,5.19,-,5.19,5.19,-
2022-07-31 00:00:00,2022-08-06 00:00:00,ESPIRITO SANTO,SERRA,ETANOL HIDRATADO,11,R$/l,4.91,0.3231858457746731,4.589,5.499,0.06584756716222571
2022-07-31 00:00:00,2022-08-06 00:00:00,ESPIRITO SANTO,VILA VELHA,ETANOL HIDRATADO,12,R$/l,4.75,0.40465754320502584,4.45,5.99,0.08514624791268297
2022-07-31 00:00:00,2022-08-06 00:00:00,ESPIRITO SANTO,VITORIA,ETANOL HIDRATADO,19,R$/l,4.84,0.22069559093839894,4.359,5.299,0.04563697163568032
2022-07-31 00:00:00,2022-08-06 00:00:00,GOIAS,AGUAS LINDAS DE GOIAS,ETANOL HIDRATADO,5,R$/l,4.51,0.10954451150103332,4.39,4.59,0.02428924866985218
2022-07-31 00:00:00,2022-08-06 00:00:00,GOIAS,ANAPOLIS,ETANOL HIDRATADO,15,R$/l,3.85,0.19891850449008375,3.5,4.32,0.051613519587463345
2022-07-31 00:00:00,2022-08-06 00:00:00,GOIAS,APARECIDA DE GOIANIA,ETANOL HIDRATADO,12,R$/l,4.23,0.21407128521012614,3.82,4.37,0.05055806775283436
2022-07-31 00:00:00,2022-08-06 00:00:00,GOIAS,CALDAS NOVAS,ETANOL HIDRATADO,12,R$/l,4.48,0.011677484162423011,4.46,4.49,0.0026094936675805608
2022-07-31 00:00:00,2022-08-06 00:00:00,GOIAS,CATALAO,ETANOL HIDRATADO,10,R$/l,4.22,0.09227976785599079,4.09,4.35,0.021846535950755395
2022-07-31 00:00:00,2022-08-06 00:00:00,GOIAS,FORMOSA,ETANOL HIDRATADO,11,R$/l,4.33,0.10562368880305047,4.27,4.59,0.024383223018542607
2022-07-31 00:00:00,2022-08-06 00:00:00,GOIAS,GOIANIA,ETANOL HIDRATADO,50,R$/l,4.01,0.2143729346303792,3.79,4.37,0.05351830802635793
2022-07-31 00:00:00,2022-08-06 00:00:00,GOIAS,GOIATUBA,ETANOL HIDRATADO,10,R$/l,4.27,0.08882567196480953,4.19,4.39,0.020787660183667105
2022-07-31 00:00:00,2022-08-06 00:00:00,GOIAS,ITUMBIARA,ETANOL HIDRATADO,17,R$/l,4.04,0.1988792125297929,3.99,4.81,0.04924904024772729
2022-07-31 00:00:00,2022-08-06 00:00:00,GOIAS,JATAI,ETANOL HIDRATADO,14,R$/l,4.39,0.09980200178573367,4.22,4.5,0.02271915487805319
2022-07-31 00:00:00,2022-08-06 00:00:00,GOIAS,LUZIANIA,ETANOL HIDRATADO,12,R$/l,3.93,0.05726070099804822,3.869,4.059,0.014586236137738358
2022-07-31 00:00:00,2022-08-06 00:00:00,GOIAS,MINEIROS,ETANOL HIDRATADO,7,R$/l,4.58,0.03401680257083039,4.5,4.59,0.0074318857052376
2022-07-31 00:00:00,2022-08-06 00:00:00,GOIAS,MORRINHOS,ETANOL HIDRATADO,7,R$/l,4,0.03484660262185845,3.98,4.08,0.00870854046244231
2022-07-31 00:00:00,2022-08-06 00:00:00,GOIAS,PORANGATU,ETANOL HIDRATADO,7,R$/l,4.47,0.03773340063934786,4.39,4.5,0.008436084461048706
2022-07-31 00:00:00,2022-08-06 00:00:00,GOIAS,RIO VERDE,ETANOL HIDRATADO,15,R$/l,4.09,0.15075050343436425,3.86,4.37,0.03682230176706503
2022-07-31 00:00:00,2022-08-06 00:00:00,GOIAS,TRINDADE,ETANOL HIDRATADO,5,R$/l,3.81,0.060663003552412456,3.77,3.89,0.01590534964667343
2022-07-31 00:00:00,2022-08-06 00:00:00,GOIAS,VALPARAISO DE GOIAS,ETANOL HIDRATADO,9,R$/l,4.12,0.15811388300841886,3.99,4.29,0.03834613169161331
2022-07-31 00:00:00,2022-08-06 00:00:00,MARANHAO,ACAILANDIA,ETANOL HIDRATADO,4,R$/l,5.57,0.3620658319514101,5.19,5.98,0.06503203088485139
2022-07-31 00:00:00,2022-08-06 00:00:00,MARANHAO,BACABAL,ETANOL HIDRATADO,3,R$/l,5.4,0.2413158373031768,5.13,5.6,0.044715720315597916
2022-07-31 00:00:00,2022-08-06 00:00:00,MARANHAO,BALSAS,ETANOL HIDRATADO,5,R$/l,6.05,0.5647300239937664,5.59,6.97,0.09337467327939258
2022-07-31 00:00:00,2022-08-06 00:00:00,MARANHAO,BARRA DO CORDA,ETANOL HIDRATADO,2,R$/l,5.75,0.07778174593051983,5.69,5.8,0.013539033234207106
2022-07-31 00:00:00,2022-08-06 00:00:00,MARANHAO,CAXIAS,ETANOL HIDRATADO,5,R$/l,5.14,0.323156308928048,4.9,5.49,0.06291984208100622
2022-07-31 00:00:00,2022-08-06 00:00:00,MARANHAO,CODO,ETANOL HIDRATADO,1,R$/l,5.49,-,5.49,5.49,-
2022-07-31 00:00:00,2022-08-06 00:00:00,MARANHAO,IMPERATRIZ,ETANOL HIDRATADO,12,R$/l,5.51,0.0761975104977887,5.39,5.69,0.013820588361146677
2022-07-31 00:00:00,2022-08-06 00:00:00,MARANHAO,PRESIDENTE DUTRA,ETANOL HIDRATADO,4,R$/l,5.45,0.3825680767305781,5.1,5.99,0.07022819214879818
